% Model:              C52_3D_base_unit_cell_recesses(cone)_v2.mph
% Version:            COMSOL 5.2.0.220
% Date:               Jul 13 2026, 09:03
% Table:              Table 2 - Global Evaluation 2 (n_CO2_film)
% H_cone (m)             R_texture (m)            t (s)                    Total moles of CO2 captured per unit cell (mol)
1.25E-5                  5.0E-5                   2000                     3.903685826903617E-5
1.25E-5                  5.0E-5                   3000                     4.779775119988011E-5
1.25E-5                  5.0E-5                   4000                     5.51690589023732E-5
1.25E-5                  5.0E-5                   5000                     6.16772476360445E-5
1.25E-5                  5.0E-5                   6000                     6.756123920252077E-5
1.25E-5                  5.0E-5                   7000                     7.296455777959724E-5
1.25E-5                  5.0E-5                   8000                     7.798969700770653E-5
1.25E-5                  5.0E-5                   9000                     8.270498433220441E-5
1.25E-5                  5.0E-5                   10000                    8.714804221815677E-5
1.25E-5                  5.0E-5                   20000                    1.2188254241223558E-4
1.25E-5                  5.0E-5                   30000                    1.4384778143499221E-4
1.25E-5                  5.0E-5                   40000                    1.5726630554832772E-4
1.25E-5                  5.0E-5                   50000                    1.650109538677894E-4
1.25E-5                  5.0E-5                   60000                    1.6925624541809666E-4
1.25E-5                  5.0E-5                   70000                    1.7139053597305391E-4
1.25E-5                  5.0E-5                   80000                    1.7239587074133455E-4
1.25E-5                  5.0E-5                   90000                    1.7288311149559374E-4
1.25E-5                  5.0E-5                   100000                   1.7326939072322337E-4
1.25E-5                  5.0E-5                   110000                   1.7374007157068498E-4
1.25E-5                  5.0E-5                   120000                   1.7408793930012936E-4
1.25E-5                  5.0E-5                   130000                   1.7429738200432844E-4
1.25E-5                  5.0E-5                   140000                   1.7428666104568272E-4
1.25E-5                  5.0E-5                   150000                   1.7422035007394156E-4
1.25E-5                  5.0E-5                   160000                   1.7416366629373134E-4
1.25E-5                  5.0E-5                   170000                   1.741095106412128E-4
1.25E-5                  5.0E-5                   180000                   1.740692533048574E-4
1.25E-5                  5.0E-5                   190000                   1.7404321247007607E-4
1.25E-5                  5.0E-5                   200000                   1.7402486427699491E-4
1.25E-5                  8.0E-5                   0                        0
1.25E-5                  8.0E-5                   0.1                      0
1.25E-5                  8.0E-5                   0.2                      0
1.25E-5                  8.0E-5                   0.30000000000000004      0
1.25E-5                  8.0E-5                   0.4                      0
1.25E-5                  8.0E-5                   0.5                      0
1.25E-5                  8.0E-5                   0.6000000000000001       0
1.25E-5                  8.0E-5                   0.7000000000000001       0
1.25E-5                  8.0E-5                   0.8                      0
1.25E-5                  8.0E-5                   0.9                      0
1.25E-5                  8.0E-5                   1                        1.09793347609501E-6
1.25E-5                  8.0E-5                   1.1                      2.034565369662523E-6
1.25E-5                  8.0E-5                   1.2000000000000002       2.047505269325033E-6
1.25E-5                  8.0E-5                   1.3                      2.060401555029293E-6
1.25E-5                  8.0E-5                   1.4000000000000001       2.0732629047598777E-6
1.25E-5                  8.0E-5                   1.5                      2.0860680813402425E-6
1.25E-5                  8.0E-5                   1.6                      2.0988407858105963E-6
1.25E-5                  8.0E-5                   1.7000000000000002       2.111583682317508E-6
1.25E-5                  8.0E-5                   1.8                      2.1242802057823605E-6
1.25E-5                  8.0E-5                   1.9000000000000001       2.136901572328698E-6
1.25E-5                  8.0E-5                   2                        2.1494958823200387E-6
1.25E-5                  8.0E-5                   5                        2.5111224425738206E-6
1.25E-5                  8.0E-5                   10                       3.058134677118087E-6
1.25E-5                  8.0E-5                   100                      8.663085603482875E-6
1.25E-5                  8.0E-5                   100                      8.663085603482875E-6
1.25E-5                  8.0E-5                   200                      1.2310124606788222E-5
1.25E-5                  8.0E-5                   300                      1.5101675426646958E-5
1.25E-5                  8.0E-5                   400                      1.7444913066432206E-5
1.25E-5                  8.0E-5                   500                      1.9504131082490984E-5
1.25E-5                  8.0E-5                   600                      2.1375340868400158E-5
1.25E-5                  8.0E-5                   700                      2.309750402248739E-5
1.25E-5                  8.0E-5                   800                      2.4695268841987277E-5
1.25E-5                  8.0E-5                   900                      2.6192576707228972E-5
1.25E-5                  8.0E-5                   1000                     2.760662873134687E-5
1.25E-5                  8.0E-5                   2000                     3.9030359614722025E-5
1.25E-5                  8.0E-5                   3000                     4.779678424645207E-5
1.25E-5                  8.0E-5                   4000                     5.519188314650783E-5
1.25E-5                  8.0E-5                   5000                     6.169865030627159E-5
1.25E-5                  8.0E-5                   6000                     6.758563054664422E-5
1.25E-5                  8.0E-5                   7000                     7.300037859199062E-5
1.25E-5                  8.0E-5                   8000                     7.803593576226072E-5
1.25E-5                  8.0E-5                   9000                     8.275447145310347E-5
1.25E-5                  8.0E-5                   10000                    8.72029463733843E-5
1.25E-5                  8.0E-5                   20000                    1.215129103930978E-4
1.25E-5                  8.0E-5                   30000                    1.426338239350733E-4
1.25E-5                  8.0E-5                   40000                    1.5505120290624074E-4
1.25E-5                  8.0E-5                   50000                    1.6195718861277712E-4
1.25E-5                  8.0E-5                   60000                    1.6551071796820662E-4
1.25E-5                  8.0E-5                   70000                    1.6726927168262963E-4
1.25E-5                  8.0E-5                   80000                    1.6826738675708872E-4
1.25E-5                  8.0E-5                   90000                    1.6891570216643232E-4
1.25E-5                  8.0E-5                   100000                   1.695269895309934E-4
1.25E-5                  8.0E-5                   110000                   1.6993371808333334E-4
1.25E-5                  8.0E-5                   120000                   1.700227978719222E-4
1.25E-5                  8.0E-5                   130000                   1.6987419176490935E-4
1.25E-5                  8.0E-5                   140000                   1.6979600639245785E-4
1.25E-5                  8.0E-5                   150000                   1.6968624593919647E-4
1.25E-5                  8.0E-5                   160000                   1.696240543943181E-4
1.25E-5                  8.0E-5                   170000                   1.6956679725243845E-4
1.25E-5                  8.0E-5                   180000                   1.6953935154559232E-4
1.25E-5                  8.0E-5                   190000                   1.6951414442648645E-4
1.25E-5                  8.0E-5                   200000                   1.6950243058553267E-4
2.0E-5                   2.0E-5                   0                        0
2.0E-5                   2.0E-5                   0.1                      0
2.0E-5                   2.0E-5                   0.2                      0
2.0E-5                   2.0E-5                   0.30000000000000004      0
2.0E-5                   2.0E-5                   0.4                      0
2.0E-5                   2.0E-5                   0.5                      0
2.0E-5                   2.0E-5                   0.6000000000000001       0
2.0E-5                   2.0E-5                   0.7000000000000001       0
2.0E-5                   2.0E-5                   0.8                      0
2.0E-5                   2.0E-5                   0.9                      0
2.0E-5                   2.0E-5                   1                        1.084004726046766E-6
2.0E-5                   2.0E-5                   1.1                      2.0101919771718963E-6
2.0E-5                   2.0E-5                   1.2000000000000002       2.0238232389422227E-6
2.0E-5                   2.0E-5                   1.3                      2.0374004010740275E-6
2.0E-5                   2.0E-5                   1.4000000000000001       2.0509350014678565E-6
2.0E-5                   2.0E-5                   1.5                      2.064399254907436E-6
2.0E-5                   2.0E-5                   1.6                      2.077824478520923E-6
2.0E-5                   2.0E-5                   1.7000000000000002       2.091214192220278E-6
2.0E-5                   2.0E-5                   1.8                      2.104558988038402E-6
2.0E-5                   2.0E-5                   1.9000000000000001       2.11784262149464E-6
2.0E-5                   2.0E-5                   2                        2.1310929472219575E-6
2.0E-5                   2.0E-5                   5                        2.5093419367906586E-6
2.0E-5                   2.0E-5                   10                       3.0733920832594918E-6
2.0E-5                   2.0E-5                   100                      8.726966287577159E-6
2.0E-5                   2.0E-5                   100                      8.726966287577159E-6
2.0E-5                   2.0E-5                   200                      1.2396370373646167E-5
2.0E-5                   2.0E-5                   300                      1.5208808351566857E-5
2.0E-5                   2.0E-5                   400                      1.7563842771620643E-5
2.0E-5                   2.0E-5                   500                      1.9637770270113814E-5
2.0E-5                   2.0E-5                   600                      2.1514549136591252E-5
2.0E-5                   2.0E-5                   700                      2.3239822539832865E-5
2.0E-5                   2.0E-5                   800                      2.4843937479997605E-5
2.0E-5                   2.0E-5                   900                      2.634893404366985E-5
2.0E-5                   2.0E-5                   1000                     2.777171072327803E-5
2.0E-5                   2.0E-5                   2000                     3.9258766200439096E-5
2.0E-5                   2.0E-5                   3000                     4.806578766570437E-5
2.0E-5                   2.0E-5                   4000                     5.547230830717528E-5
2.0E-5                   2.0E-5                   5000                     6.200054825225967E-5
2.0E-5                   2.0E-5                   6000                     6.789954763158786E-5
2.0E-5                   2.0E-5                   7000                     7.33208706368624E-5
2.0E-5                   2.0E-5                   8000                     7.836041485514514E-5
2.0E-5                   2.0E-5                   9000                     8.308337155262008E-5
2.0E-5                   2.0E-5                   10000                    8.75469512564522E-5
2.0E-5                   2.0E-5                   20000                    1.2240399055374912E-4
2.0E-5                   2.0E-5                   30000                    1.4468188667332812E-4
2.0E-5                   2.0E-5                   40000                    1.5850271368682847E-4
2.0E-5                   2.0E-5                   50000                    1.6664305194221218E-4
2.0E-5                   2.0E-5                   60000                    1.7120199556352683E-4
2.0E-5                   2.0E-5                   70000                    1.736060049038551E-4
2.0E-5                   2.0E-5                   80000                    1.746681362099741E-4
2.0E-5                   2.0E-5                   90000                    1.7514474600815961E-4
2.0E-5                   2.0E-5                   100000                   1.7553308057937367E-4
2.0E-5                   2.0E-5                   110000                   1.7571589728988463E-4
2.0E-5                   2.0E-5                   120000                   1.758720111720444E-4
2.0E-5                   2.0E-5                   130000                   1.7595037473121345E-4
2.0E-5                   2.0E-5                   140000                   1.7602087908925472E-4
2.0E-5                   2.0E-5                   150000                   1.7605624581782197E-4
2.0E-5                   2.0E-5                   160000                   1.7608809361856353E-4
2.0E-5                   2.0E-5                   170000                   1.7610417634018625E-4
2.0E-5                   2.0E-5                   180000                   1.7611863794641302E-4
2.0E-5                   2.0E-5                   190000                   1.7612582998293696E-4
2.0E-5                   2.0E-5                   200000                   1.7613229717787737E-4
2.0E-5                   5.0E-5                   0                        0
2.0E-5                   5.0E-5                   0.1                      0
2.0E-5                   5.0E-5                   0.2                      0
2.0E-5                   5.0E-5                   0.30000000000000004      0
2.0E-5                   5.0E-5                   0.4                      0
2.0E-5                   5.0E-5                   0.5                      0
2.0E-5                   5.0E-5                   0.6000000000000001       0
