family,R,H,SA,V,n_t2000,n_t15000,n_t134900,n_eq,pct_eq_t15000,early_leadership_share,SA_V,L_c
square_recessed,0.0,0.0,0.0,0.0,0.0,0.0001,0.0002,0.0002,62.0755,0.3383,21951.2195,0.0
square_recessed,0.0,0.0,0.0,0.0,0.0,0.0001,0.0002,0.0002,62.0755,0.0,21951.2195,0.0
square_recessed,0.0,0.0,0.0,0.0,0.0,0.0001,0.0002,0.0002,62.0755,0.0,21951.2195,0.0
square_recessed,0.0,0.0,0.0,0.0,0.0,0.0001,0.0002,0.0002,62.0755,0.0025,21951.2195,0.0
square_recessed,0.0,0.0,0.0,0.0,0.0,0.0001,0.0002,0.0002,62.0755,0.0,21951.2195,0.0
square_recessed,0.0,0.0,0.0,0.0,0.0,0.0001,0.0002,0.0002,62.0755,0.0175,21951.2195,0.0
square_recessed,0.0,0.0,0.0,0.0,0.0,0.0001,0.0002,0.0002,62.0755,0.0,21951.2195,0.0
square_recessed,0.0,0.0,0.0,0.0,0.0,0.0001,0.0002,0.0002,62.0755,0.0,21951.2195,0.0
square_recessed,0.0,0.0,0.0,0.0,0.0,0.0001,0.0002,0.0002,62.0755,0.0326,21951.2195,0.0
square_recessed,0.0,0.0,0.0,0.0,0.0,0.0001,0.0002,0.0002,62.0755,0.0,21951.2195,0.0
square_recessed,0.0,0.0,0.0,0.0,0.0,0.0001,0.0002,0.0002,62.0755,0.0,21951.2195,0.0
square_recessed,0.0,0.0,0.0,0.0,0.0,0.0001,0.0002,0.0002,62.0755,0.0,21951.2195,0.0
square_recessed,0.0,0.0,0.0,0.0,0.0,0.0001,0.0002,0.0002,62.0755,0.0,21951.2195,0.0
square_recessed,0.0001,0.0,0.0,0.0,0.0,0.0001,0.0002,0.0002,62.0755,0.0,21951.2195,0.0
square_recessed,0.0001,0.0,0.0,0.0,0.0,0.0001,0.0002,0.0002,62.0755,0.0,21951.2195,0.0
square_recessed,0.0001,0.0,0.0,0.0,0.0,0.0001,0.0002,0.0002,62.0755,0.0025,21951.2195,0.0
square_recessed,0.0001,0.0,0.0,0.0,0.0,0.0001,0.0002,0.0002,62.0755,0.0,21951.2195,0.0
square_recessed,0.0001,0.0,0.0,0.0,0.0,0.0001,0.0002,0.0002,62.0755,0.0,21951.2195,0.0
square_pillars,0.0,0.0,0.0,0.0,0.0,0.0001,0.0002,0.0002,58.9,0.0,20194.9513,0.0
square_pillars,0.0,0.0,0.0,0.0,0.0,0.0001,0.0002,0.0002,58.9159,0.0,20487.1955,0.0
square_pillars,0.0,0.0,0.0,0.0,0.0,0.0001,0.0002,0.0002,58.9307,0.0,20779.2208,0.0
