family,volume_type,R,H,SA,V,n_t500,n_t2000,n_t15000,n_near_eq,n_eq,n_eq_per_V,pct_eq_t15000,early_leadership_share,SA_V,L_c,n_t500_kg,n_t2000_kg,n_t15000_kg,n_near_eq_kg,n_eq_kg,n_eq_per_V_kg
square_recessed,removed,8e-05,2.75e-05,1.4399999999999997e-08,3.239999999999988e-13,2.721520464930599e-05,5.281900401869469e-05,0.00010641224646902871,0.00011462098984716972,0.00011462098984716972,353768487.18262386,92.83835937110108,0.0,44444.4444444446,2.2499999999999923e-05,1.1977411566159566e-06,2.3245643668627533e-06,4.683202967101954e-06,5.044469763173939e-06,5.044469763173939e-06,15569351.120907277
square_recessed,removed,8e-05,3.5e-05,1.5600000000000007e-08,2.759999999999991e-13,2.9581221288093457e-05,5.728128069707663e-05,9.50811205368582e-05,9.764010357613703e-05,9.764010357613703e-05,353768491.21788895,97.37916804104637,0.0,56521.739130434995,1.7692307692307623e-05,1.301869548888993e-06,2.5209491634783424e-06,4.18452011482713e-06,4.297140958385791e-06,4.297140958385791e-06,15569351.298499294
cone_recessed,removed,5e-06,5e-06,1.000812954118924e-08,4.999672798396583e-13,1.940172303838328e-05,3.8818188480084865e-05,0.00010419576529545158,0.00017689290515101748,0.00017689290515101748,353808963.67407846,58.90330378513332,0.0,20017.569038515663,4.995611595373579e-05,8.538698309192483e-07,1.708388475008535e-06,4.585655630652824e-06,7.785056755696279e-06,7.785056755696279e-06,15571132.491296193
cone_recessed,removed,5e-06,1.25e-05,1.0033226075333195e-08,4.999181920670197e-13,1.9455062356168646e-05,3.890284246039303e-05,0.00010432684197424457,0.00017695337577310625,0.00017695337577310625,353964665.7815238,58.957248777223036,0.0,20069.735877881652,4.982626607966848e-05,8.562172942949821e-07,1.7121140966818975e-06,4.591424315286504e-06,7.787718067774405e-06,7.787718067774405e-06,15577984.941044863
cone_recessed,removed,5e-06,2e-05,1.0061284414713326e-08,4.998691201129019e-13,1.953561356823828e-05,3.907576606182367e-05,0.00010464570941287962,0.00017685751623164762,0.00017685751623164762,353807645.0725783,59.16950076117482,0.0,20127.83748762247,4.9682436109440264e-05,8.597623531381667e-07,1.7197244643808597e-06,4.6054576712608324e-06,7.783499289354811e-06,7.783499289354811e-06,15571074.459644172
cone_recessed,removed,5e-06,2.75e-05,1.0090035150311521e-08,4.99820156399741e-13,1.96218134064208e-05,3.927524018349391e-05,0.00010511133088321451,0.00017679240755177065,0.00017679240755177065,353712040.7972852,59.45466343198842,0.0,20187.331425349355,4.953601736306235e-05,8.635560080165794e-07,1.7285033204755669e-06,4.62594967217027e-06,7.780633856353427e-06,7.780633856353427e-06,15566866.915488522
cone_recessed,removed,5e-06,3.5e-05,1.01191830934647e-08,4.997709370627977e-13,1.9708795978614792e-05,3.9494492809348496e-05,0.00010569706659946845,0.0001768222778343009,0.0001768222778343009,353806643.64659256,59.775876599959055,0.0,20247.64215569661,4.938846668221332e-05,8.67384111018837e-07,1.7381526285394273e-06,4.651727901042607e-06,7.781948447487583e-06,7.781948447487583e-06,15571030.386886539
cone_recessed,removed,1e-05,5e-06,1.000926507058915e-08,4.998691354892848e-13,1.9403909961655018e-05,3.8824238956967284e-05,0.00010420409463794992,0.00017685748004869095,0.00017685748004869095,353807561.80430764,58.919811935158926,0.0,20023.770943152602,4.9940643190485735e-05,8.539660774124374e-07,1.70865475649613e-06,4.586022205016176e-06,7.78349769694289e-06,7.78349769694289e-06,15571070.795007579
cone_recessed,removed,1e-05,1.25e-05,1.0047160462314964e-08,4.996727996789711e-13,1.9473761697740636e-05,3.893235271502333e-05,0.00010438267211762821,0.00017678617976325475,0.00017678617976325475,353803889.0186459,59.0445883594597,0.0,20107.479271975673,4.973273807591221e-05,8.570402523175654e-07,1.7134128429881768e-06,4.5938813998968175e-06,7.780359771380842e-06,7.780359771380842e-06,15570909.155710606
cone_recessed,removed,1e-05,2e-05,1.0096991596819949e-08,4.994765088039892e-13,1.958722420148924e-05,3.916744171542089e-05,0.00010477954910520095,0.00017679071246910592,0.00017679071246910592,353952006.4565926,59.267564252568484,0.0,20215.14809775035,4.9467854262778584e-05,8.620337371075415e-07,1.7237591098956735e-06,4.611347956119893e-06,7.780559255765352e-06,7.780559255765352e-06,15577427.804154642
cone_recessed,removed,1e-05,2.75e-05,1.015123445956336e-08,4.992801057442969e-13,1.971562494546849e-05,3.9432180563090675e-05,0.00010536723069694517,0.0001765986137838041,0.0001765986137838041,353706490.10847616,59.664811880085345,0.0,20331.74232814766,4.91841763416203e-05,8.676846538500683e-07,1.7354102665816206e-06,4.6372118229725575e-06,7.772104992625218e-06,7.772104992625218e-06,15566622.629674036
cone_recessed,removed,1e-05,3.5e-05,1.020719141631573e-08,4.990839974095988e-13,1.985204277599549e-05,3.973828357676661e-05,0.0001061041906256518,0.00017653161730276092,0.00017653161730276092,353711235.4213217,60.10492185299452,0.0,20451.850729124213,4.8895330463954634e-05,8.736884025715615e-07,1.7488818602134986e-06,4.669645429434936e-06,7.769156477494508e-06,7.769156477494508e-06,15566831.470892368
