geometry,R,H,k,r2_early,t_cross,n_eq,t_fit_start,t_fit_window,fit_method,anchor_t,q_ratio_anchor,deviation_anchor,alpha_anchor
grooves,2e-05,1.25e-05,9.598130244982546e-07,0.9990330876589169,9000.0,0.00016804797924734884,5,500,median_ratio,2000,0.9722420112772724,-0.02775798872272761,0.48394074522101144
grooves,2e-05,2e-05,1.0248727175400637e-06,0.9991435421509892,5000.0,0.00016272984526448313,5,500,median_ratio,2000,0.9698075247457875,-0.030192475254212536,0.479448066827425
grooves,2e-05,2.75e-05,1.0895975849721643e-06,0.9991629035703705,5000.0,0.00015742520473531477,5,500,median_ratio,2000,0.9713114816155071,-0.028688518384492934,0.4787896648691936
grooves,2e-05,3.5000000000000004e-05,1.1550182063844506e-06,0.9991746498874007,4000.0,0.00015212331222210003,5,500,median_ratio,2000,0.970680930467209,-0.029319069532790953,0.47252988779919913
grooves,5e-05,5e-06,8.957852533923594e-07,0.9991053939862443,30000.0,0.00016806173994111853,5,500,median_ratio,2000,0.9865049477670491,-0.013495052232950888,0.49441871889772393
grooves,5e-05,1.25e-05,9.59872076598512e-07,0.9990771100209549,9000.0,0.00015477207023811598,5,500,median_ratio,2000,0.9722126001605671,-0.027787399839432902,0.4839634341945905
grooves,5e-05,2e-05,1.0246782554814253e-06,0.9990818080357224,5000.0,0.00014150692431031108,5,500,median_ratio,2000,0.9704148676960707,-0.02958513230392934,0.4796233628780922
grooves,5e-05,2.75e-05,1.0899864822993603e-06,0.9992772101443522,5000.0,0.00012824105966127166,5,500,median_ratio,2000,0.9709368817555262,-0.02906311824447383,0.4782241370857122
grooves,5e-05,3.5000000000000004e-05,1.1546738813043188e-06,0.9991645095129642,3000.0,0.00011497465760785782,5,500,median_ratio,2000,0.9678232831847378,-0.03217671681526224,0.4604821024186908
grooves,8e-05,5e-06,8.957629490314892e-07,0.9992240902133694,30000.0,0.00016274135584953714,5,500,median_ratio,2000,0.986465667571263,-0.013534332428737028,0.49448497716972073
grooves,8e-05,1.25e-05,9.598195843290962e-07,0.9990279071958179,8000.0,0.00014150892903767268,5,500,median_ratio,2000,0.9725618523741493,-0.02743814762585073,0.48399366780824643
grooves,8e-05,2e-05,1.0251038105342813e-06,0.9991485232244018,5000.0,0.000120281393570843,5,500,median_ratio,2000,0.9698462983343537,-0.03015370166564635,0.4790294682428356
grooves,8e-05,2.75e-05,1.0897089347715222e-06,0.9992557230655228,4000.0,9.905517730097808e-05,5,500,median_ratio,2000,0.9710419117128464,-0.028958088287153627,0.47680553032792344
grooves,8e-05,3.5000000000000004e-05,1.154377564033473e-06,0.999092537549073,3000.0,7.782906766972974e-05,5,500,median_ratio,2000,0.964678426038063,-0.035321573961937025,0.4469302534573493
square_pillar,5e-06,5e-06,8.691382143635677e-07,0.9993218111886799,40000.0,0.00017690258613598943,5,500,median_ratio,2000,0.9991362797499995,-0.000863720250000477,0.4995973516998357
square_pillar,5e-06,1.25e-05,8.725314568017274e-07,0.9993506826642081,40000.0,0.00017700938624373814,5,500,median_ratio,2000,0.9969939944110594,-0.0030060055889405968,0.49857019665147156
square_pillar,5e-06,2e-05,8.779656429652984e-07,0.9992130423559447,30000.0,0.00017703522291254614,5,500,median_ratio,2000,0.9924615674960046,-0.00753843250399544,0.49775603372961574
square_pillar,5e-06,2.75e-05,8.82642646417484e-07,0.9990014562950192,30000.0,0.0001771421388998433,5,500,median_ratio,2000,0.9888848555672123,-0.011115144432787716,0.496848585774619
square_pillar,5e-06,3.5000000000000004e-05,8.870676389020084e-07,0.9989859189735745,30000.0,0.00017721030287320448,5,500,median_ratio,2000,0.985912720978076,-0.01408727902192397,0.49584139825647544
square_pillar,1e-05,5e-06,8.737843723442999e-07,0.9992409542213955,40000.0,0.00017707609719419746,5,500,median_ratio,2000,0.9962133168993245,-0.0037866831006755364,0.498626032522172
square_pillar,1e-05,1.25e-05,8.911680049309475e-07,0.9990054287609218,30000.0,0.00017734148130629486,5,500,median_ratio,2000,0.9833747679987541,-0.016625232001245882,0.4950337089054507
square_pillar,1e-05,2e-05,9.082990864399018e-07,0.9987611700954129,30000.0,0.00017757831288476512,5,500,median_ratio,2000,0.9714850373206414,-0.028514962679358602,0.49112056710219576
square_pillar,1e-05,2.75e-05,9.255819956086226e-07,0.9981535201456324,7000.0,0.0001778436076702025,5,500,median_ratio,2000,0.9597483777079506,-0.04025162229204937,0.48756676637363927
square_pillar,1e-05,3.5000000000000004e-05,9.425246586864709e-07,0.9976137310671856,2000.0,0.0001781371918629502,5,500,median_ratio,2000,0.9487783630413039,-0.05122163695869608,0.4841015471438665
square_pillar,2e-05,5e-06,8.864615529863229e-07,0.9990448457439688,30000.0,0.0001776066197993983,5,500,median_ratio,2000,0.9886306710242507,-0.011369328975749271,0.4957807433872647
square_pillar,2e-05,1.25e-05,9.290496764591096e-07,0.9989285647770609,10000.0,0.00017862677867525362,5,500,median_ratio,2000,0.9666729704887104,-0.03332702951128963,0.4844811849960225
square_pillar,2e-05,2e-05,9.721766390620704e-07,0.9983580947909593,2000.0,0.00017969118692022295,5,500,median_ratio,2000,0.9477348728874263,-0.052265127112573695,0.4726120629662024
square_pillar,2e-05,2.75e-05,1.0155013532192509e-06,0.9979440693908405,2000.0,0.0001807524696733526,5,500,median_ratio,2000,0.9305651675553509,-0.0694348324446491,0.4613523159552455
square_pillar,2e-05,3.5000000000000004e-05,1.0586774398941014e-06,0.99747917150293,1000.0,0.0001818140699784193,5,500,median_ratio,2000,0.9149463101248875,-0.08505368987511253,0.45072202917795184
square_pillar,5e-05,5e-06,9.234471375228787e-07,0.9979788774711781,20000.0,0.00018132377223705734,5,500,median_ratio,2000,0.9698120220035287,-0.030187977996471327,0.4880623736600799
square_pillar,5e-05,1.25e-05,1.0428918907771494e-06,0.9979500557717488,2000.0,0.0001879077894843815,5,500,median_ratio,2000,0.9351730402124172,-0.0648269597875828,0.46551842619846817
square_pillar,5e-05,2e-05,1.1646511084662335e-06,0.9975013111345468,2000.0,0.00019454302693536402,5,500,median_ratio,2000,0.9203912244147665,-0.0796087755852335,0.4503830326018273
square_pillar,5e-05,2.75e-05,1.2856061146921284e-06,0.9972189059198557,1000.0,0.00020117245211927703,5,500,median_ratio,2000,0.9122896048751059,-0.08771039512489409,0.44143858252209567
